Soil_Type  ,Zinc(%),Copper(%),Iron(%),Nitrogen(%),Phosphorus(%) ,Potassium(%),Magnesium(%)
Sandy Soil,0.002,0.001,0.5,0.05,0.02,0.1,0.05
Clay Soil,0.005,0.003,2,0.1,0.05,0.3,0.2
Loamy Soil,0.8,0.002,0.18,0.08,0.03,0.2,0.15
Silt Soil,0.6,0.002,0.14,0.07,0.04,0.25,0.18
Peaty Soil,1,0.001,0.13,0.12,0.01,0.15,0.1
Chalky Soil,0.7,0.001,0.11,0.04,0.03,0.1,0.08
Saline Soil,0.9,0.001,0.19,0.02,0.01,0.05,0.03
Sandy Soil,0.4,0.001,0.16,0.05,0.02,0.1,0.05
Clay Soil,1.3,0.003,0.17,0.1,0.05,0.3,0.2
Loamy Soil,0.9,0.002,0.14,0.08,0.03,0.2,0.15
Silt Soil,0.6,0.002,0.12,0.07,0.04,0.25,0.18
Peaty Soil,1.1,0.001,0.15,0.12,0.01,0.15,0.1
Chalky Soil,0.8,0.001,0.18,0.04,0.03,0.1,0.08
Saline Soil,0.5,0.001,0.14,0.02,0.01,0.05,0.03
Sandy Soil,0.7,0.001,0.13,0.05,0.02,0.1,0.05
Clay Soil,1.2,0.003,0.11,0.1,0.05,0.3,0.2
Loamy Soil,0.6,0.002,0.19,0.08,0.03,0.2,0.15
Silt Soil,1,0.002,0.16,0.07,0.04,0.25,0.18
Peaty Soil,0.9,0.001,0.17,0.12,0.01,0.15,0.1
Chalky Soil,0.8,0.001,0.14,0.04,0.03,0.1,0.08
Saline Soil,0.5,0.001,0.12,0.02,0.01,0.05,0.03
Sandy Soil,0.4,0.001,0.15,0.05,0.02,0.1,0.05
Clay Soil,1.1,0.003,0.18,0.1,0.05,0.3,0.2
Loamy Soil,0.7,0.002,0.14,0.08,0.03,0.2,0.15
Silt Soil,0.6,0.002,0.13,0.07,0.04,0.25,0.18
Peaty Soil,1.3,0.001,0.11,0.12,0.01,0.15,0.1
Chalky Soil,0.8,0.001,0.19,0.04,0.03,0.1,0.08
Saline Soil,0.9,0.001,0.16,0.02,0.01,0.05,0.03
Sandy Soil,0.5,0.001,0.17,0.05,0.02,0.1,0.05
Clay Soil,1.2,0.003,0.14,0.1,0.05,0.3,0.2
Loamy Soil,0.7,0.002,0.12,0.08,0.03,0.2,0.15
Silt Soil,0.9,0.002,0.15,0.07,0.04,0.25,0.18
Peaty Soil,1,0.001,0.18,0.12,0.01,0.15,0.1
Chalky Soil,0.6,0.001,0.14,0.04,0.03,0.1,0.08
Saline Soil,0.8,0.001,0.13,0.02,0.01,0.05,0.03
Sandy Soil,0.4,0.001,0.11,0.05,0.02,0.1,0.05
Clay Soil,1.3,0.003,0.19,0.1,0.05,0.3,0.2
Loamy Soil,0.9,0.002,0.16,0.08,0.03,0.2,0.15
Silt Soil,0.7,0.002,0.17,0.07,0.04,0.25,0.18
Peaty Soil,1,0.001,0.14,0.12,0.01,0.15,0.1
Chalky Soil,0.5,0.001,0.12,0.04,0.03,0.1,0.08
Saline Soil,0.6,0.001,0.15,0.02,0.01,0.05,0.03
Sandy Soil,1.1,0.001,0.18,0.05,0.02,0.1,0.05
Clay Soil,0.8,0.003,0.14,0.1,0.05,0.3,0.2
Loamy Soil,0.7,0.002,0.13,0.08,0.03,0.2,0.15
Silt Soil,1.2,0.002,0.11,0.07,0.04,0.25,0.18
Peaty Soil,0.9,0.001,0.19,0.12,0.01,0.15,0.1
Chalky Soil,0.6,0.001,0.16,0.04,0.03,0.1,0.08
Saline Soil,0.5,0.001,0.17,0.02,0.01,0.05,0.03
Sandy Soil,1.3,0.001,0.14,0.05,0.02,0.1,0.05
Clay Soil,0.9,0.003,0.12,0.1,0.05,0.3,0.2
Loamy Soil,0.8,0.002,0.15,0.08,0.03,0.2,0.15
Silt Soil,1,0.002,0.18,0.07,0.04,0.25,0.18
Peaty Soil,0.7,0.001,0.14,0.12,0.01,0.15,0.1
Chalky Soil,0.6,0.001,0.13,0.04,0.03,0.1,0.08
Saline Soil,1.1,0.001,0.11,0.02,0.01,0.05,0.03
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
